Segment ID,Waterbody Index Number (WIN),Name,Description,6NYCRR Chapter X Part,Water Quality Class,Basin,Segment Miles,Waterbody Type
0903-0173,SL- 1-P109..162,Cold River and tribs,entire stream and tribs,898,C(T),St. Lawrence River,150.55,Streams
0903-0179,SL- 1-P109..P241-,Minor Tribs to Long Lake,total length of select tribs to lake,898,C(T),St. Lawrence River,116.94,Streams
0903-0184,SL- 1-P109..P241-27,Big Brook and tribs,entire stream and tribs,898,C(T),St. Lawrence River,58.99,Streams
0903-0193,SL- 1-P109..P241..P276-,Minor Tribs to Forked Lake,total length of all tribs to lake,898,C,St. Lawrence River,67.58,Streams
0903-0200,SL- 1-P109..P293-,Minor Tribs to Raquette Lake,total length of select tribs to lake,898,C,St. Lawrence River,100.38,Streams
0903-0207,SL- 1-P109..P293- 6,South Inlet and tribs,entire stream and tribs,898,C(T),St. Lawrence River,53.39,Streams
0904-0008,SL- 2 (portion 2),"Grass River, Middle, and tribs","stream and tribs, from Massena to Madrid",898,B,St. Lawrence River,94.92,Streams
0904-0009,SL- 2 (portion 1),"Grass River, Lower, and tribs","stream and tribs, from mouth to Massena",898,B,St. Lawrence River,29.86,Streams
0904-0015,SL- 2 (portion 3),"Grass River, Middle, and tribs","stream and tribs, from Madrid to Canton",898,B,St. Lawrence River,126.25,Streams
0904-0016,SL- 2 (portion 4),"Grass River, Middle, and minor tribs","stream and selected tribs, from Canton to Pyrites",898,A,St. Lawrence River,16.62,Streams
0904-0017,SL- 2 (portion 5),"Grass River, Upper, and minor tribs","stream and selected tribs, above Pyrites",898,C(T),St. Lawrence River,111.72,Streams
0904-0018,SL- 2-22,"Little River, Lower, and minor tribs","stream and select tribs, from mouth to North Russell",898,C(T),St. Lawrence River,75.13,Streams
0904-0019,SL- 2-22,"Little River, Upper, and tribs","stream and tribs, above North Russell",910,AA,St. Lawrence River,57.76,Streams
0904-0020,SL- 2-22- 1,Tracy Brook and tribs,entire stream and tribs,910,C,St. Lawrence River,32.89,Streams
0904-0021,SL- 2-22- 2,Grannis Brook and tribs,entire stream and tribs,910,C,St. Lawrence River,79.5,Streams
0904-0022,SL- 2-25,Harrison Creek and minor tribs,entire stream and selected tribs,910,C,St. Lawrence River,15.38,Streams
0904-0023,SL- 2-25- 2,Elm Creek and tribs,entire stream and tribs,910,C(T),St. Lawrence River,133.02,Streams
0904-0025,SL- 2-25- 3,Tanner Creek and tribs,entire stream and tribs,910,C,St. Lawrence River,117.26,Streams
0904-0029,SL- 2-45,Plumb Brook and tribs,entire stream and tribs,910,C(T),St. Lawrence River,115.38,Streams
0904-0034,SL- 2-48,"North Branch Grass River, Low, and tribs","stream and tribs, from mouth to nr Gleasons Mills",910,C(T),St. Lawrence River,57.44,Streams
0904-0035,SL- 2-48,"North Branch Grass River, Upp, and tribs","stream and tribs, above Gleasons Mills",910,C(T),St. Lawrence River,86.16,Streams
0904-0045,SL- 2-58,Middle Branch Grass River and tribs,entire stream and tribs,910,C(T),St. Lawrence River,150.92,Streams
0904-0051,SL- 2-59,"South Branch Grass River, Low, and tribs","stream and tribs, from mouth to Newbridge",910,C(T),St. Lawrence River,106.32,Streams
0904-0052,SL- 2-59,"South Branch Grass River, Mid, and tribs","stream and tribs, from Newbridge to Brandy Brook",910,C(T),St. Lawrence River,121.73,Streams
0904-0053,SL- 2-59,"South Branch Grass River, Upp, and tribs","stream and tribs, above Brandy Brook",910,C(T),St. Lawrence River,78.87,Streams
0905-0003,SL-25- 73,"West Br Oswegatchie, Upper, and tribs","stream and tribs, above Harrisville",910,C(T),St. Lawrence River,139.06,Streams
0905-0090,SL-25-101,Little River and tribs,entire stream and tribs,910,C(T),St. Lawrence River,159.05,Streams
0905-0096,SL-25 (portion  5),"Oswegatchie River, Middle, Main Stem",from Gouvernor to Talcville,910,A,St. Lawrence River,28.07,Streams
0905-0097,SL-25 (portion  4),"Oswegatchie River, Middle, Main Stem",from Richville to Gouvernor,910,B,St. Lawrence River,33.4,Streams
0905-0098,SL-25- 29,Boland Creek and minor tribs,entire stream and selected tribs,910,C,St. Lawrence River,39.28,Streams
0905-0099,SL-25- 68,Matoon Creek and minor tribs,entire stream and selected tribs,910,C,St. Lawrence River,88.67,Streams
0905-0100,SL-25- 72,Sylvia Lake Outlet and tribs,entire stream and tribs,910,D,St. Lawrence River,20.18,Streams
0905-0101,SL-25 (portion  7),"Oswegatchie River, Middle, and tribs","stream and tribs, fr Newton Falls to Cranberry L",910,A(T),St. Lawrence River,198.47,Streams
0905-0103,SL-25- 17 thru 28,Minor Tribs to Middle Oswegatchie River,"total length of select tribs, Renss.Falls to Richville",910,C,St. Lawrence River,85.63,Streams
0905-0110,SL-25 (portion  1),"Oswegatchie River, Lower, Main Stem",from mouth to Black Lake Outlet,910,B,St. Lawrence River,6.77,Streams
0905-0111,SL-25 (portion  2),"Oswegatchie River, Lower, Main Stem",from Black Lake Outlet to Rensselaer Falls,910,B,St. Lawrence River,11.65,Streams
0905-0112,SL-25 (portion  3),"Oswegatchie River, Middle, Main Stem",from Rensselaer Falls to Richville,910,C,St. Lawrence River,15.73,Streams
0905-0113,SL-25 (portion  6),"Oswegatchie River, Middle, and mnr tribs","stream and select tribs, from Talcville to Newton Falls",910,C,St. Lawrence River,156.76,Streams
0905-0115,SL-25 (portion  9),"Oswegatchie River, Upper, and tribs","stream and tribs, above Cranberry Lake",910,C(T),St. Lawrence River,154.34,Streams
0905-0116,SL-25-  1 thru 15,Minor Tribs to Lower Oswegatchie River,"total length of select tribs, fr mouth to Renss.Falls",910,C,St. Lawrence River,132.98,Streams
0905-0117,SL-25- 13,Beaver Creek and tribs,entire stream and tribs,910,C,St. Lawrence River,110.06,Streams
0905-0120,SL-25- 16-P61/P62-,Tribs to Lower/Upper Lakes,total length of all tribs to both lakes,910,C,St. Lawrence River,67.47,Streams
0905-0121,SL-25- 22,Indian Creek and tribs,entire stream and tribs,910,C,St. Lawrence River,41.6,Streams
0905-0122,SL-25- 29- 1,White Creek and tribs,entire stream and tribs,910,C,St. Lawrence River,27.74,Streams
0905-0123,SL-25- 30 thru 64,Minor Tribs to Middle Oswegatchie River,"total length of select tribs, Richville to Gouvernor",910,C,St. Lawrence River,75.41,Streams
0905-0126,SL-25- 50,Vrooman Creek and tribs,entire stream and tribs,910,C,St. Lawrence River,40.14,Streams
0905-0128,SL-25- 57,Malterna Creek and tribs,entire stream and tribs,910,C,St. Lawrence River,16.1,Streams
0905-0129,SL-25- 65 thru 75,Minor Tribs to Middle Oswegatchie River,"total length of select tribs, Gouvernor to Talcville",910,C,St. Lawrence River,64,Streams
0905-0130,SL-25- 68- 3,Saywer Creek and tribs,entire stream and tribs,910,C,St. Lawrence River,66.18,Streams
0905-0133,SL-25- 73,"West Br Oswegatchie, Lower, and tribs","stream and select tribs, fr mouth to near Harrisville",910,C,St. Lawrence River,120.88,Streams
0905-0138,SL-25- 73-19,"Big Creek, Lower, and minor tribs","stream and select tribs, from mouth to Pitcairn",910,C,St. Lawrence River,78.58,Streams
0905-0139,SL-25- 73-19,Big Creek/Jenny Creek and tribs,"stream and tribs, above Pitcairn",910,C(T),St. Lawrence River,39.99,Streams
0905-0153,SL-25- 73-26,Middle Br Oswegatchie and tribs,entire stream and tribs,910,C(T),St. Lawrence River,264.52,Streams
0905-0170,SL-25- 82,Stammer Creek and tribs,entire stream and tribs,910,C(T),St. Lawrence River,85,Streams
0906-0005,SL-25-  7/P1- 3 (portion 2),"Indian River, Middle, and minor tribs","stream and select tribs, from Rivergate to Antwerp",910,C,St. Lawrence River,129.09,Streams
0906-0021,SL-25-  7/P1- 3 (portion 1),"Indian River, Lower, and minor tribs","stream and select tribs, from mouth to Rivergate",910,C,St. Lawrence River,114.74,Streams
0906-0025,SL-25-  7/P1- 1 thru 9 (sel),Minor Tribs to Black Lake,total length of select tribs to the lake,910,C,St. Lawrence River,33.88,Streams
0906-0026,SL-25-  7/P1- 2,Fish Creek and minor tribs,entire stream and select tribs,910,C,St. Lawrence River,55.99,Streams
0906-0027,SL-25-  7/P1- 2- 2,Birch Creek and tribs,entire stream and tribs,910,C,St. Lawrence River,37.63,Streams
0906-0030,SL-25-  7/P1- 3 (portion 3),"Indian River, Middle, and minor tribs","stream and select tribs, from Antwerp to above Antwerp",910,A,St. Lawrence River,15.37,Streams
0906-0031,SL-25-  7/P1- 3 (portion 4),"Indian River, Middle, and minor tribs","stream and select tribs, fr abv Antwerp to Indian Lake",910,C,St. Lawrence River,74.81,Streams
0906-0032,SL-25-  7/P1- 3 (portion 6),"Indian River, Middle, and minor tribs","stream and select tribs, fr Inidan L to nr Indian River",910,C(T),St. Lawrence River,122.87,Streams
0906-0040,SL-25-  7/P1- 3-22,Black Creek and tribs,entire stream and tribs,910,D,St. Lawrence River,18.92,Streams
0906-0041,SL-25-  7/P1- 3-23,Otter Creek and tribs,entire stream and tribs,941,C,St. Lawrence River,82.11,Streams
0906-0042,SL-25-  7/P1- 3-25,Pleasant Creek and minor tribs,entire stream and select tribs,941,C(T),St. Lawrence River,48.37,Streams
0906-0043,SL-25-  7/P1- 3-25- 1,"West Creek, Upper, and tribs","stream and tribs, above Evans Mills",930,A(T),St. Lawrence River,14.19,Streams
0906-0045,SL-25-  7/P1- 3-30,"Black Creek, Lower, and tribs","stream and tribs, from mouth to Reedville",930,C,St. Lawrence River,38.78,Streams
0906-0046,SL-25-  7/P1- 3-30,"Black Creek, Upper, and tribs","stream and tribs, above Reedville",931,C(T),St. Lawrence River,85.51,Streams
0906-0047,SL-25-  7/P1- 3-42,Rockwell Creek and tribs,entire stream and tribs,930,C,St. Lawrence River,30.57,Streams
0906-0049,SL-25-  7/P1- 3-55,Bonaparte Creek and tribs,entire stream and tribs,930,C,St. Lawrence River,8.53,Streams
0906-0051,SL-25-  7/P1- 3-55-P24-,Tribs to Lake Bonaparte,total length of all tribs to the lake,931,C(T),St. Lawrence River,25.93,Streams
0906-0056,SL-25-  7/P1- 3-63,Blanchard Creek and tribs,entire stream and tribs,930,C(T),St. Lawrence River,28.21,Streams
0906-0059,SL-25-  7/P1- 5,Grass Creek and tribs,entire stream and tribs,930,C,St. Lawrence River,12.44,Streams
0906-0061,SL-25-  7/P1- 8,Black Creek and minor tribs,entire stream and select tribs,931,C,St. Lawrence River,21.55,Streams
0906-0062,SL-25-  7/P1- 8- 4,Jewett Creek and tribs,entire stream and tribs,931,C,St. Lawrence River,41.02,Streams
0906-0063,SL-25-  7/P1- 8- P54-,Minor Tribs to Butterfield Lake,total length of select tribs to the lake,821,B,St. Lawrence River,15.69,Streams
1001-0017,C- 86,Mill Brook and minor tribs,entire stream and selected tribs,830,C(T),Lake Champlain,18.29,Streams
1001-0018,C-  5 thru 13,Riley Brook and tribs,entire stream and tribs,830,D,Lake Champlain,36.24,Streams
1001-0019,C- 14,Dead Creek and minor tribs,entire stream and selected tribs,830,C,Lake Champlain,85.69,Streams
1001-0022,C- 57 thru 95 (selected),Minor Tribs to Lake Champlain,"total length of selected tribs, Main Lake South",830,C(T),Lake Champlain,85.06,Streams
1001-0023,C- 73,Housington Brook and tribs,entire stream and tribs,830,C(T),Lake Champlain,18.09,Streams
1001-0024,C- 80,"Beaver Brook, Upper, and tribs",stream and tribs above D&H railroad crossing,830,AA(T),Lake Champlain,11.13,Streams
1001-0025,C- 86-3,"Bartlett Brook, Upper, and minor tribs",stream and selected tribs abv Pt Henry water supply dam,830,AA(T),Lake Champlain,12.87,Streams
1001-0026,C- 86-5,Mill Brook Tributary,stream and tribs above Mineville water supply dam,830,AA(T),Lake Champlain,4.03,Streams
1002-0001,C-  3 (portion 2),"Great Chazy River, Lower, Main Stem",river from Champlain waterworks dam to North Branch,830,A,Lake Champlain,18.87,Streams
1002-0003,C-  4,"Little Chazy River, Lower, and tribs",stream and tribs from mouth to West Chazy,830,C,Lake Champlain,55.34,Streams
1002-0008,C-  4,"Little Chazy River, Upper, and tribs",stream and tribs above West Chazy,830,C(T),Lake Champlain,63.21,Streams
1002-0010,C-  3 (portion 1),"Great Chazy River, Lower, Main Stem",river from mouth to Champlain waterworks dam,830,C,Lake Champlain,8.45,Streams
1002-0011,C-  3- 1 thru 22 (selected),"Minor Tribs to Great Chazy River, Lower","total length of selected tribs, fr mouth to North Br",830,D,Lake Champlain,158.55,Streams
1002-0012,C-  3- 2,Corbeau Creek and tribs,entire stream and tribs,830,D,Lake Champlain,62.24,Streams
1002-0013,C-  3-25,"North Branch, Lower, and minor tribs",stream and selected tribs from mouth to Ellenburg Depot,830,C(T),Lake Champlain,104.36,Streams
1002-0014,C-  3-25,"North Branch, Upper, and tribs",stream and tribs above Ellenburg Depot,830,C(T),Lake Champlain,109.27,Streams
1002-0016,C-  3-25- 5,Graves Brook and tribs,entire stream and tribs,830,C(T),Lake Champlain,43.31,Streams
1002-0017,C-  3 (portion 3),"Great Chazy River, Middle, and tribs",stream and tribs from North Branch to Miner Lake,830,C,Lake Champlain,53.2,Streams
1002-0018,C-  3 (portion 5),"Great Chazy River, Upper, and tribs",stream and tribs from Miner Lake to Chazy Lake,830,C(T),Lake Champlain,82.9,Streams
1002-0020,C-  3-35,Stillwater Brook and tribs,entire stream and tribs,830,C(T),Lake Champlain,33.89,Streams
1002-0021,C-  3-P20-,Tribs to Chazy Lake,total length of selected tribs,830,AA(T),Lake Champlain,43.8,Streams
1002-0023,C-  1 thru 2 (selected),Minor Tribs to Lake Champlain,"total length of selected tribs, Main Lake North",830,D,Lake Champlain,12.43,Streams
1003-0001,C- 15 (portion 2),"Saranac River, Lower, Main Stem",river from Woods Mills to Plattsburgh Town Line,830,A,Lake Champlain,5.06,Streams
1003-0021,C- 15 (portion 3),"Saranac River, Middle, Main Stem",river from near Plattsburgh Town Line to Union Falls,830,C(T),Lake Champlain,19.44,Streams
1003-0038,C- 15-22,"North Branch Saranac, Lower, minor tribs",stream and selected tribs from mouth to Mud Lake,830,C(T),Lake Champlain,120.14,Streams
1003-0041,C- 15-22,"North Branch Saranac, Upper, and tribs",stream and tribs above Mud Lake,830,C(T),Lake Champlain,26.82,Streams
1003-0044,C- 15 (portion 6),"Saranac River, Upper, Main Stem",river from Franklin Falls Pond to Saranac Lake,830,C,Lake Champlain,35.52,Streams
1003-0049,C- 15 (portion 1),"Saranac River, Lower, Main Stem",river from mouth the Woods Mills,830,C(T),Lake Champlain,15.23,Streams
1003-0051,"C- 15- 5, 5-3","Mead/Sandburn Brooks, Upper, and tribs",stream and tribs above Mead/Patterson Reservoirs,830,A,Lake Champlain,32.76,Streams
1003-0052,C- 15- 1 thru 10,"Minor Tribs to Saranac River, Lower","total length of selected tribs, fr mouth to Woods Mills",830,D,Lake Champlain,55.59,Streams
1003-0053,C- 15- 11 thru 30 (selected),Minor Tribs to Middle Saranac River,"total length of selected tribs, Elsinore to Union Falls",830,C(T),Lake Champlain,101.62,Streams
1003-0055,C- 15-18,True Brook and tribs,entire stream and tribs,830,C(T),Lake Champlain,55.42,Streams
1003-0056,C- 15-22- 3,Cold Brook and tribs,entire stream and tribs,830,C(T),Lake Champlain,35.41,Streams
1003-0070,C- 15-51,Towbridge Brook and tribs,entire stream and tribs,830,C(T),Lake Champlain,61.84,Streams
1003-0071,C- 15-31 thru 47 (selected),"Minor Tribs to Saranac River, Upper","total length of selected tribs, above Franklin Falls Pd",830,C(T),Lake Champlain,51.34,Streams
1003-0074,C- 15-P 86-P 90-60,Ray Brook and tribs,entire stream and tribs,830,C(T),Lake Champlain,20.76,Streams
1003-0077,C- 15-P 86-P 90-65,Cold Brook and tribs,entire stream and tribs,830,C(T),Lake Champlain,31.28,Streams
1003-0082,C- 15-P104-66 thru 74,Tribs to Lower Saranac Lake,total length of all tribs,830,AA(T),Lake Champlain,20.41,Streams
1003-0087,C- 15-P114- 1 thru 15,Tribs to Upper Saranac Lake,total length of all tribs,910,AA,Lake Champlain,42.26,Streams
1003-0116,C- 15-12-3,"Behan Brook, Upper, and tribs",stream and tribs above Dannemora Water Supply dam,830,AA,Lake Champlain,0.01,Streams
1003-0117,C- 15-19,"Mud Pond Brook, Upper, and tribs",stream and tribs above Redford Water Supply dam,830,A(T),Lake Champlain,5.22,Streams
1003-0118,C- 15-54,Moose Creek and tribs,entire stream and tribs,830,A(T),Lake Champlain,13.51,Streams
1003-0121,C- 15-P110- 1 thru 8,Tribs to Middle Saranac Lake,total length of all tribs,830,AA,Lake Champlain,6.16,Streams
1004-0010,C- 21,"Salmon River, Lower, and tribs",stream and tribs from mouth to Davis Lake,830,C(T),Lake Champlain,75.62,Streams
1004-0013,C- 25-26,"West Br Ausable, Middle, and tribs",stream and tribs from Wilmington to Lake Placid,830,C(T),Lake Champlain,65.02,Streams
1004-0014,C- 25-27,"East Br Ausable, Lower, and minor tribs",stream and selected tribs from mouth to Upper Jay,830,C(T),Lake Champlain,50.47,Streams
1004-0015,C- 25,"Ausable River, Lower, and minor tribs",stream and selected tribs from mouth to Ausable Chasm,830,C(T),Lake Champlain,41.1,Streams
1004-0018,C- 23,"Little Ausable River, Lower, and tribs",stream and tribs from mouth to dam in Peru,830,C,Lake Champlain,57.6,Streams
1004-0019,C- 16 thru 56 (selected),Minor Tribs to Lake Champlain,"total length of selected tribs, Main Lake Middle",830,C,Lake Champlain,84.06,Streams
1004-0020,C- 25,"Ausable River, Upper, and minor tribs","stream and selected tribs, abv Ausable Chasm to E/W Br",830,C,Lake Champlain,74.24,Streams
1004-0021,C- 23,"Little Ausable River, Upper, and tribs",stream and tribs above dam in Peru,830,A(T),Lake Champlain,86.33,Streams
1004-0028,C- 25-26-35,Chubb River and tribs,entire stream and tribs,830,C,Lake Champlain,33.2,Streams
1004-0036,C- 48- 6,"North Branch Boquet, Upper, and tribs",stream and tribs above Reber/Spruce Mill Brook,830,C(T),Lake Champlain,84.23,Streams
1004-0037,C- 48,"Boquet River, Lower, and tribs",stream and tribs from mouth to Willsboro,830,C(T),Lake Champlain,6.14,Streams
1004-0039,C- 48,"Boquet River, Middle, and minor tribs",stream and selected tribs from Willsboro to Wadhams,830,A,Lake Champlain,71.28,Streams
1004-0040,C- 48-34,The Branch (Boquet) and tribs,entire stream and tribs,830,AA(T),Lake Champlain,48.19,Streams
1004-0042,C- 25-26,"West Br Ausable, Lower, and minor tribs",stream and selected tribs from mouth to Wilmington,830,C(T),Lake Champlain,150.57,Streams
1004-0046,C- 48,"Boquet River, Middle, and minor tribs",stream and selected tribs from Wadhams to Elizabethtown,863,C(T),Lake Champlain,863,Streams
1004-0047,C- 21,"Salmon River, Upper, and tribs",stream and tribs above Davis Lake,830,C(T),Lake Champlain,73.37,Streams
1004-0054,C- 25- 8-P218-,Tribs to Butternut Pond,total length of selected tribs,830,AA,Lake Champlain,6,Streams
1004-0055,C- 25-25,"Palmer Brook, Upper, and tribs",stream and tribs above Ausable Forks water supply dam,830,A(T),Lake Champlain,15.29,Streams
1004-0056,C- 25-26,"West Br Ausable, Upper, and tribs",stream and tribs above Lake Placid,830,C(T),Lake Champlain,88.41,Streams
1004-0069,C- 25-26-35-5-P254-,Tribs to Lake Placid,total length of selected tribs,830,AA,Lake Champlain,10.87,Streams
1004-0071,C- 25-27,"East Br Ausable, Middle, and tribs",stream and selected tribs fr Upper Jay to Keene Valley,830,AA(T),Lake Champlain,155.94,Streams
1004-0072,C- 25-27,"East Br Ausable, Upper, and tribs",stream and tribs above Keene Valley,830,AA(T),Lake Champlain,96.9,Streams
1004-0073,C- 25-27- 9,"Rocky Branch, Upper, and tribs",stream and tribs above Jay water supply dam,830,AA(T),Lake Champlain,23.61,Streams
1004-0074,C- 25-27-36,Johns Brook and tribs,entire stream and tribs,830,AA(T),Lake Champlain,40.13,Streams
1004-0078,C- 48- 6,"North Branch Boquet, Lower, and tribs",stream and tribs from mouth to Reber/Spruce Mill Brook,830,C(T),Lake Champlain,53.18,Streams
1004-0079,C- 48- 6-10,"Spruce Mill Brook, Lower, and tribs",stream and tribs from mouth to Lewis water supply,830,C(T),Lake Champlain,46.61,Streams
1004-0080,C- 48- 6-10,"Spruce Mill Brook, Upper, and tribs",stream and tribs above Lewis water supply intake,830,AA(T),Lake Champlain,12.92,Streams
1004-0081,C- 48,"Boquet River, Upper, and tribs",stream and tribs above Elizabethtown,830,C(T),Lake Champlain,95.42,Streams
1004-0082,C- 48-26,Black River and tribs,entire stream and tribs,830,C(T),Lake Champlain,37.41,Streams
1004-0095,C- 37,Little Trout Brook and tribs,entire stream and tribs,830,AA(T),Lake Champlain,10.65,Streams
1004-0096,"C- 48-36,37","Locklaird, Killkenny Brooks and tribs",total length of both streams and tribs,830,AA,Lake Champlain,3.69,Streams
1005-0002,C-134-22,Indian River and tribs,entire stream and tribs (within NYS),830,C(T),Lake Champlain,31.61,Streams
1005-0003,C-134,"Mettawee River, Upper, and minor tribs",stream and selected tribs from trib -15 to NY-VT border,830,C(T),Lake Champlain,76.13,Streams
1005-0004,C-134- 4-27,Big Creek and tribs,entire stream and tribs,830,C(T),Lake Champlain,53.7,Streams
1005-0011,C- 96,"Putnam Creek, Lower, and tribs",stream and tribs from mouth to Ironville/Penfield Pond,830,C(T),Lake Champlain,64.8,Streams
1005-0013,C-134- 4-19,"Halfway Creek, Lower, and tribs",stream and selected tribs from mouth to Tripoli,830,A(T),Lake Champlain,71.12,Streams
1005-0015,C- 96,"Putnam Creek, Upper, and tribs",stream and tribs above Penfield Pond,830,C(T),Lake Champlain,54.36,Streams
1005-0020,C- 97 thru 122 (selected),Minor Tribs to Lake Champlain,"total length of selected tribs, South Lake",830,C(T),Lake Champlain,71.14,Streams
1005-0021,C-100,Fivemile Run and tribs,entire stream and tribs,830,C(T),Lake Champlain,18.14,Streams
1005-0023,C-102,Charter Brook and tribs,entire stream and tribs,830,C,Lake Champlain,13.39,Streams
1005-0024,C-106,Mill Brook and tribs,entire stream and tribs,830,C(T),Lake Champlain,28.82,Streams
1005-0027,C-123 thru 133 (selected),Minor Tribs to South Bay,stream and tribs fm mouth to Whitehall WS dam,830,C(T),Lake Champlain,15.67,Streams
1005-0027,C-123 thru 133 (selected),Minor Tribs to South Bay,stream and tribs fr mouth to Whitehall water supply dam,830,C(T),Lake Champlain,5.91,Streams
1005-0028,C-127,"Pike Brook, Upper, and tribs",stream and tribs above Whitehall water supply dam,830,AA(T),Lake Champlain,22.12,Streams
1005-0033,C-128,Mount Hope Brook and tribs,entire stream and tribs,830,C(T),Lake Champlain,45.4,Streams
1005-0034,C-134,"Mettawee River, Lower, and minor tribs",stream and selected tribs from mouth to trib -15,830,C,Lake Champlain,41.19,Streams
1005-0035,C-134- 2,Mud Brook and tribs,entire stream and tribs,830,D,Lake Champlain,16.57,Streams
1005-0036,C-134- 4,Wood Cr/Champlain Canal and minor tribs,entire stream and selected tribs,830,C,Lake Champlain,131.78,Streams
1005-0039,C-134- 4-19- 8,"Bishop Brook, Upper, and tribs",stream and tribs above Hadlock Pond,830,AA(T),Lake Champlain,17.73,Streams
1005-0043,C-134- 4-19-19,"Glen Lake Brook, Lower, and tribs",stream and tribs from mouth to Lake Sunnyside (trib -4),830,AA(T),Lake Champlain,11.22,Streams
1005-0045,C-134- 4-19-19,"Glen Lake Brook, Upper, and tribs",stream and tribs above Route 9,830,AA,Lake Champlain,19.1,Streams
1005-0053,C-138,"Poultney River, Lower, and tribs",stream and tribs from mouth at East Bay to Carver Falls,830,C,Lake Champlain,19.27,Streams
1005-0054,C-138,"Poultney River, Upper, and tribs",stream and tribs above Carver Falls (within NYS),830,C(T),Lake Champlain,17.2,Streams
1005-0061,C-134- 4-17,Winchell Creek and tribs,entire stream and tribs,830,C,Lake Champlain,31.76,Streams
1005-0063,C-134- 4-19,"Halfway Creek, Upper, and tribs",stream and selected tribs above Tripoli,830,AA(T),Lake Champlain,39.45,Streams
1005-0064,C-134- 4-19- 8,"Bishop Brook, Lower, and tribs",stream and tribs from mouth to Hadlock Pond,830,A(T),Lake Champlain,28.8,Streams
1006-0002,C-101-P367-59,Indian Brook and tribs,entire stream and tribs,830,AA-S,Lake Champlain,29.45,Streams
1006-0003,"C-101-P367-53,56",Huddle/Finkle Brooks and tribs,total length of both streams and tribs,830,AA-S,Lake Champlain,18.85,Streams
1006-0004,C-101-P367-42 thru 48,"Lake George Tribs, Town of Lake George",total length of selected tribs,830,AA-S,Lake Champlain,5.69,Streams
1006-0006,C-101-P367-86,Hague Brook and tribs,entire stream and tribs,830,AA-S,Lake Champlain,17.94,Streams
1006-0008,C-101-P367-32 thru 41,"Tribs to L.George, Village of L George",total length of selected tribs,830,AA-S,Lake Champlain,22.31,Streams
1006-0017,C-101,Ticonderoga Creek,entire stream,830,D,Lake Champlain,46.81,Streams
1006-0018,C-101- 1,Trout Brook and tribs,entire stream and tribs,830,C(T),Lake Champlain,7.09,Streams
1006-0020,C-101-P367- 1 thru 26,"Tribs to L.George, East Shore",total length of selected tribs,830,AA-S,Lake Champlain,58.28,Streams
1006-0021,C-101-P367-27 thru 31,"Tribs to L.George, Southeast Shore",total length of selected tribs,830,AA-S,Lake Champlain,32.56,Streams
1006-0022,C-101-P367-49 thru 73 (selected),"Tribs to L.George, Town of Bolton",total length of selected tribs,830,AA-S,Lake Champlain,21.87,Streams
1006-0023,C-101-P367-65,Northwest Bay Brook and tribs,entire stream and tribs,830,AA-S,Lake Champlain,65.68,Streams
1006-0024,C-101-P367-74 thru 89 (selected),"Tribs to L.George, Town of Hague",total length of selected tribs,830,AA-S,Lake Champlain,32.68,Streams
1006-0032,C-101-P367-41,HOLD for English Brook, ,830,AA-S,Lake Champlain,15.15,Streams
1101-0001,H-299-P27-13- 1-P30- (selected),Tribs to Lake Lonely,total length of selected tribs to lake,941,C,Upper Hudson River,21.1,Streams
1101-0001,H-299-P27-13- 1-P30- (selected),Tribs to Lake Lonely,total length of selected tribs to lake,941,C,Upper Hudson River,21.1,Streams
1101-0002,H (portion  1),"Upper Hudson, Main Stem",from Waterford/Troy to near Mechanicville,941,A,Upper Hudson River,12.75,Streams
1101-0002,H (portion  1),"Upper Hudson, Main Stem",from Waterford/Troy to near Mechanicville,941,A,Upper Hudson River,10.48,Streams
1101-0005,H (portion  5),"Upper Hudson, Main Stem",from Glens Falls to Sherman Isl Dam above Glens Falls,941,B,Upper Hudson River,12.58,Streams
1101-0007,H-260- 6,Dwaas Kill and tribs,entire stream and tribs,941,C(T),Upper Hudson River,43.61,Streams
1101-0013,H-299-P27-13,"Kayaderosseras Cr, Upper, and tribs",stream and tribs above Milton Center,941,C,Upper Hudson River,150.66,Streams
1101-0014,H-299-P27-13,"Kayaderosseras Cr, Lower, and minor trib",stream and selected tribs from mouth to Milton Center,941,C,Upper Hudson River,92.05,Streams
1101-0019,H-363,"Sturdevant Creek, Upper, and tribs",stream and tribs above Corinth,941,AA(T),Upper Hudson River,28.98,Streams
1101-0025,H-260,Anthony Kill and minor tribs,entire stream and selected/smaller tribs,931,C,Upper Hudson River,31.42,Streams
1101-0026,H-318,"Snook Kill, Lower, and minor tribs",stream and selected tribs from mouth to Gansevoort,931,C,Upper Hudson River,59.29,Streams
1101-0037,H-260-P1089-,Minor Tribs to Round Lakes,total length of selected/smaller tribs to the lakes,941,C,Upper Hudson River,20.33,Streams
1101-0042,H (portion  2),"Upper Hudson, Main Stem",from Mechanicville to Riverside,941,C,Upper Hudson River,8.26,Streams
1101-0043,H (portion  3),"Upper Hudson, Main Stem",from Riverside to Schuylerville,941,B,Upper Hudson River,19.41,Streams
1101-0044,H (portion  4),"Upper Hudson, Main Stem",from Schuylerville Glens Falls,941,C,Upper Hudson River,28.12,Streams
1101-0045,H (portion  6),"Upper Hudson, Main Stem",from Sherman Isl Dam abv Glens Falls to Spier Falls Dam,941,A,Upper Hudson River,3.72,Streams
